term	section	course	instructor	whenWhere
Spring 2011	2954	ARCHI-221	Abbott	MW 2:00-3:00pm ET-122A 1/22-5/27
Spring 2012	2954	ARCHI-221	Abbott	MWMW 2:00-4:50pm ET-103
Spring 2013	2954	ARCHI-221	Abbott	MWMW 2:00-4:50pm ET-103
Spring 2011	2956	ARCHI-121	Abbott	TTH 2:00-4:50pm ET-122A 1/22-5/27
Spring 2010	2956	ARCHI-121	Abbott	TTH 2:00-4:50pm ET-122A
Spring 2006	2956	ARCHI-121	Abbott	TTH 2:00-4:50pm ET-122A
Spring 2005	2956	ARCHI-121	Abbott	TTH 2:00-4:50pm ET-108
Spring 2007	2956	ARCHI-121	Abbott	TTH 2:00-4:50pm ET-122A
Spring 2008	2956	ARCHI-121	Abbott	TTH 2:00-4:50pm ET-122A
Spring 2009	2956	ARCHI-121	Abbott	TTH 2:00-4:50pm ET-122A
Spring 2014	2956	ARCHI-121	Abbott	TTH 2:00-5:50pm ET-122A
Spring 2012	2956	ARCHI-121	Abbott	TTH 2:00-5:50pm ET-122A
Fall 2007	3334	ARCHI-160	Abbott	TTH 11:00-12:15pm ET-112 8/16-12/16
Fall 2006	3334	ARCHI-160	Abbott	TTH 11:00-12:15pm ET-112
Fall 2005	3334	ARCHI-160	Abbott	TTH 11:00-12:15pm ET-112
Fall 2008	3334	ARCHI-160	Abbott	TTH 11:00-12:15pm ET-112
Fall 2004	3334	ARCHI-160	Abbott	TTH 12:30-1:45pm ET-112 8/19-12/19
Fall 2007	3343	ARCHI-220	Abbott	MW 1:00-4:50pm ET-120B 8/16-12/16
Fall 2010	3534	ARCHI-299	Abbott	  
Spring 2008	3561	ARCHI-155	Abbott	TTH 11:00-12:15pm ET-112
Spring 2009	3561	ARCHI-155	Abbott	TTH 11:00-12:15pm ET-112
Spring 2014	3614	ARCHI-299	Abbott	  
Spring 2013	3614	ARCHI-299	Abbott	  
Spring 2012	3945	ARCHI-120	Abbott	TTH 8:00-10:50am ET-103
Spring 2007	4157	ARCHI-298	Abbott	  
Spring 2007	4158	ARCHI-298	Abbott	  
Fall 2006	4897	ARCHI-298	Abbott	   10/21-12/20
Spring 2005	8361	ARCHI-150D	Abbott	TTH 7:00-9:50pm ET-127
Spring 2004	8545	ARCHI-160	Abbott	T 7:00-9:50pm ET-112
Fall 2006	8796	ARCHI-150D	Abbott	MW 7:00-9:50pm ET-116B
Fall 2005	8860	ARCHI-120	Abbott	MW 6:30-7:30pm ET-117
Spring 2002	1402	DRAMA-126	Abbott	TTH 11:00-12:15pm PACLobby
Spring 2005	1402	DRAMA-126	Abbott	MW 11:00-12:15pm PACLobby
Spring 2007	1402	DRAMA-126	Abbott	MW 11:00-12:15pm PACLobby
Spring 2008	1402	DRAMA-126	Abbott	TTH 9:30-10:45am PACLobby
Spring 2006	1402	DRAMA-126	Abbott	MW 11:00-12:15pm PACLobby
Spring 2004	1402	DRAMA-126	Abbott	TTH 11:00-12:15pm PACLobby
Spring 2004	8531	DRAMA-126	Abbott	T 7:00-9:50pm PACLobby
Spring 2006	8531	DRAMA-126	Abbott	M 7:00-9:50pm PACLobby
Spring 2008	8531	DRAMA-126	Abbott	S 12:00-3:20pm PACLobby 1/26-5/17
Spring 2007	8531	DRAMA-126	Abbott	M 7:00-9:50pm PACLobby
Spring 2005	8531	DRAMA-126	Abbott	M 7:00-9:50pm PACLobby
Spring 2002	8531	DRAMA-126	Abbott	T 7:00-9:50pm PACLobby
Spring 2008	8065	SPAN-155	Abbott-Walker	M 7:00-9:50pm H-108
Spring 2007	8065	SPAN-155	Abbott-Walker	M 7:00-9:50pm BFL-111
Spring 2006	8065	SPAN-155	Abbott-Walker	M 7:00-9:50pm BFL-111
Spring 2009	8065	SPAN-155	Abbott-Walker	M 7:00-10:05pm H-107
Spring 2005	8065	SPAN-155	Abbott-Walker	M 7:00-9:50pm BFL-111
Spring 2004	8068	SPAN-156	Abbott-Walker	TH 7:00-9:50pm H-117
Spring 2010	8070	SPAN-157	Abbott-Walker	T 7:00-9:50pm H-106
Spring 2010	8080	SPAN-156	Abbott-Walker	T 7:00-9:50pm H-106
Spring 2002	8102	SPAN-155	Abbott-Walker	W 7:00-9:50pm H-113
Spring 2011	8591	SPAN-120	Abbott-Walker	MW 7:00-9:15pm BFL-209 1/22-5/27
Fall 2008	8688	SPAN-155	Abbott-Walker	W 7:00-9:50pm H-118
Fall 2007	8688	SPAN-155	Abbott-Walker	W 7:00-9:50pm H-111 8/16-12/16
Fall 2006	8688	SPAN-155	Abbott-Walker	W 7:00-9:50pm BFL-111
Fall 2002	8690	SPAN-156	Abbott-Walker	T 7:00-9:50pm LA-114
Fall 2003	8690	SPAN-156	Abbott-Walker	W 7:00-9:50pm LA-120
Fall 2004	8690	SPAN-157	Abbott-Walker	W 7:00-9:50pm BFL-209 8/19-12/19
Fall 2005	8690	SPAN-157	Abbott-Walker	W 7:00-9:50pm BFL-209
Fall 2001	8690	SPAN-156	Abbott-Walker	W 7:00-9:50pm H-102
Fall 2001	8691	SPAN-157	Abbott-Walker	W 7:00-9:50pm H-102
Fall 2004	8691	SPAN-156	Abbott-Walker	W 7:00-9:50pm BFL-209 8/19-12/19
Fall 2003	8691	SPAN-157	Abbott-Walker	W 7:00-9:50pm LA-120
Fall 2005	8691	SPAN-156	Abbott-Walker	W 7:00-9:50pm BFL-209
Fall 2010	8720	SPAN-120	Abbott-Walker	MW 7:00-9:15pm BFL-207
Fall 2009	8721	SPAN-120	Abbott-Walker	MW 4:00-6:15pm BFL-212
